day,trades,profit_usdt,wins,losses
2025-10-22,4,95.22336338,4,0
2025-10-23,16,-415.96416098,3,13
2025-10-24,11,-90.45885625,3,8
2025-10-25,14,-170.91231665,3,11
2025-10-26,18,246.44457038000002,14,4
2025-10-27,15,38.849602770000004,8,7
2025-10-28,24,-88.05706346,12,12
2025-10-29,7,151.03652585999998,5,2
2025-10-30,24,723.6115830900001,24,0
2025-10-31,10,-178.78654577,3,7
2025-11-01,2,-0.11236182,0,2
2025-11-02,11,-207.30351362,2,9
2025-11-03,25,955.22565145,22,2
2025-11-04,31,767.04181825,28,1
2025-11-05,11,69.90206658,7,4
2025-11-06,6,93.45631517000001,5,1
2025-11-07,21,-50.26622067000001,13,8
2025-11-08,10,215.14783061,8,2
2025-11-09,14,123.71785781999999,9,4
2025-11-10,24,-458.15053441000003,6,18
2025-11-11,23,491.68095423,18,5
2025-11-12,16,61.8653736,11,5
2025-11-13,27,382.16093771,21,6
2025-11-14,15,559.52036616,15,0
2025-11-15,1,0.40438312,1,0
2025-11-16,11,76.53540021999999,9,2
2025-11-17,18,211.7230968,13,5
2025-11-18,8,-194.51898952,1,7
2025-11-19,15,409.80135825,13,2
2025-11-20,11,133.60362381000002,9,2
2025-11-21,5,-1005.953105,1,4
