pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,close_dt,date
SOL/USDT:USDT,1998.666,1998.666,11.1,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00,180.06,177.737226,0.0005,0.0005,0,0.011912406205254062,23.7970168,trailing_stop_loss,360.12,-1.0,177.02684999999997,-0.001,176.85,180.18,False,short,1.0,True,1761166800000,1761166800000,"[{'amount': 11.1, 'safe_price': 180.06, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1999.665333}, {'amount': 11.1, 'safe_price': 177.737226, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1973.8696502042997}]",0.0,2,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00
ETH/USDT:USDT,1999.32376,1999.32376,0.529,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00,3779.44,3730.685224,0.0005,0.0005,0,0.011912406201974606,23.80484838,trailing_stop_loss,7558.88,-1.0,3710.0163099999995,-0.001,3706.31,3780.7,False,short,1.0,True,1761166800000,1761166800000,"[{'amount': 0.529, 'safe_price': 3779.44, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.32342188}, {'amount': 0.529, 'safe_price': 3730.685224, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1974.519249737748}]",0.0,2,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00
LINK/USDT:USDT,1999.8879,1999.8879,116.7,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00,17.137,16.9159327,0.0005,0.0005,0,0.011912406204624899,23.81156529,trailing_stop_loss,34.274,-1.0,16.707690999999997,-0.001,16.691,17.155,False,short,1.0,True,1761166800000,1761166800000,"[{'amount': 116.7, 'safe_price': 17.137, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.8878439500002}, {'amount': 116.7, 'safe_price': 16.9159327, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1975.0763907630449}]",0.0,2,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00
ADA/USDT:USDT,1999.7508,1999.7508,3214.0,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00,0.6222,0.61417362,0.0005,0.0005,0,0.01191240620177072,23.80993291,trailing_stop_loss,1.2444,-1.0,0.6051,-0.001,0.6045,0.6226,False,short,1.0,True,1761166800000,1761166800000,"[{'amount': 3214.0, 'safe_price': 0.6222, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.7506753999999}, {'amount': 3214.0, 'safe_price': 0.61417362, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1974.9409916873399}]",0.0,2,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00
ETH/USDT:USDT,1998.51102,1998.51102,0.534,2025-10-22 22:00:00+00:00,2025-10-23 02:00:00+00:00,3742.53,3819.46,0.0005,0.0005,240,-0.021571300367786,-43.08892626,exit_short,7485.06,-1.0,7485.06,-1.0,3730.51,3835.32,False,short,1.0,True,1761170400000,1761184800000,"[{'amount': 0.534, 'safe_price': 3742.53, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761170400000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1999.51027551}, {'amount': 0.534, 'safe_price': 3819.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761184800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2040.61143582}]",0.010745072174072615,3,2025-10-23 02:00:00+00:00,2025-10-23 02:00:00+00:00
BNB/USDT:USDT,1991.2695,1991.2695,1.87,2025-10-22 21:00:00+00:00,2025-10-23 06:00:00+00:00,1064.85,1096.72,0.0005,0.0005,540,-0.031029395656683986,-61.75699523,exit_short,2129.7,-1.0,2129.7,-1.0,1052.03,1110.38,False,short,1.0,True,1761166800000,1761199200000,"[{'amount': 1.87, 'safe_price': 1064.85, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1992.2651347499998}, {'amount': 1.87, 'safe_price': 1096.72, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761199200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2051.8918332000003}]",-0.13902727805999998,3,2025-10-23 06:00:00+00:00,2025-10-23 06:00:00+00:00
BTC/USDT:USDT,1937.5992,1937.5992,0.018,2025-10-22 21:00:00+00:00,2025-10-23 06:00:00+00:00,107644.4,110165.6241,0.0005,0.0005,540,0.02230990319603128,43.24926441,trailing_stop_loss,110165.6241,-1.0,110165.6241,-0.001,106588.0,110275.9,False,long,1.0,False,1761166800000,1761199200000,"[{'amount': 0.018, 'safe_price': 107644.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 1938.5679995999994}, {'amount': 0.018, 'safe_price': 110165.6241, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761199200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1983.9727244168998}]",-0.17247917736,3,2025-10-23 06:00:00+00:00,2025-10-23 06:00:00+00:00
ETH/USDT:USDT,1997.57758,1997.57758,0.523,2025-10-23 02:00:00+00:00,2025-10-23 06:00:00+00:00,3819.46,3892.104,0.0005,0.0005,240,0.018000932349550962,35.97623801,trailing_stop_loss,3892.104,-1.0,3892.104,-0.001,3813.0,3896.0,False,long,1.0,False,1761184800000,1761199200000,"[{'amount': 0.523, 'safe_price': 3819.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761184800000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 1998.57636879}, {'amount': 0.523, 'safe_price': 3892.104, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761199200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2036.588177196}]",0.0,3,2025-10-23 06:00:00+00:00,2025-10-23 06:00:00+00:00
SOL/USDT:USDT,1998.8551,1998.8551,11.21,2025-10-22 22:00:00+00:00,2025-10-23 07:00:00+00:00,178.31,187.33,0.0005,0.0005,540,-0.05166964785970218,-103.22849907,exit_short,356.62,-1.0,356.62,-1.0,177.68,187.94,False,short,1.0,True,1761170400000,1761202800000,"[{'amount': 11.21, 'safe_price': 178.31, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761170400000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1999.85452755}, {'amount': 11.21, 'safe_price': 187.33, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761202800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2101.01928465}]",-0.06488686952791796,3,2025-10-23 07:00:00+00:00,2025-10-23 07:00:00+00:00
LINK/USDT:USDT,1999.85274,1999.85274,115.02,2025-10-23 06:00:00+00:00,2025-10-23 07:00:00+00:00,17.387,17.656,0.0005,0.0005,60,-0.016487308472778982,-32.95570293,exit_short,34.774,-1.0,34.774,-1.0,17.364,17.667,False,short,1.0,True,1761199200000,1761202800000,"[{'amount': 115.02, 'safe_price': 17.387, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761199200000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.85266637}, {'amount': 115.02, 'safe_price': 17.656, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761202800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2031.8085165599998}]",0.0,3,2025-10-23 07:00:00+00:00,2025-10-23 07:00:00+00:00
