day,trades,profit_usdt,wins,losses
2025-10-22,12,184.69738535,9,3
2025-10-23,13,-30.220709859999996,7,6
2025-10-24,15,200.6808351,11,4
2025-10-25,9,57.7653413,6,3
2025-10-26,12,-49.865717960000005,9,3
2025-10-27,10,154.52094993,8,2
2025-10-28,10,-183.33375562999998,4,6
2025-10-29,14,-141.71460246,3,11
2025-10-30,24,-119.13571252999999,11,13
2025-10-31,9,-20.924475719999997,4,5
2025-11-01,12,63.94787488,9,3
2025-11-02,20,45.693248710000006,11,9
2025-11-03,38,79.04783149000001,23,15
2025-11-04,52,610.63256048,38,14
2025-11-05,24,145.34244238,14,10
2025-11-06,13,-27.215679320000014,7,6
2025-11-07,23,239.31923721,14,9
2025-11-08,9,-76.35522835,3,6
2025-11-09,12,-98.88416931,2,10
2025-11-10,9,-164.97494182,3,6
2025-11-11,11,69.63634026999999,8,3
2025-11-12,12,-131.74609287,5,7
2025-11-13,23,375.29644284,18,5
2025-11-14,47,318.85562645,27,20
2025-11-15,22,-140.62995519,6,16
2025-11-16,17,279.00595882,14,3
2025-11-17,21,172.44748395,16,5
2025-11-18,29,14.528606979999996,13,16
2025-11-19,31,417.1998051,24,7
2025-11-20,32,350.90965787,26,6
2025-11-21,5,-17.26264326,2,3
